continent,country,year,life_expectancy,fertility,population
Africa,Algeria,1950,42.77,7.65,8872247.0
Africa,Algeria,1951,43.03,7.65,9039913.0
Africa,Algeria,1952,43.5,7.65,9216395.0
Africa,Algeria,1953,43.96,7.65,9405445.0
Africa,Algeria,1954,44.44,7.65,9609507.0
Africa,Algeria,1955,44.93,7.65,9829717.0
Africa,Algeria,1956,45.44,7.65,10065829.0
Africa,Algeria,1957,45.94,7.65,10316288.0
Africa,Algeria,1958,46.45,7.65,10578453.0
Africa,Algeria,1959,46.97,7.65,10848971.0
Africa,Algeria,1960,47.5,7.65,11124892.0
Africa,Algeria,1961,48.02,7.65,11404859.0
Africa,Algeria,1962,48.55,7.65,11690152.0
Africa,Algeria,1963,49.07,7.65,11985130.0
Africa,Algeria,1964,49.58,7.65,12295973.0
Africa,Algeria,1965,50.09,7.66,12626953.0
Africa,Algeria,1966,50.58,7.66,12980269.0
Africa,Algeria,1967,51.05,7.66,13354197.0
Africa,Algeria,1968,51.49,7.66,13744383.0
Africa,Algeria,1969,51.95,7.65,14144437.0
Africa,Algeria,1970,52.41,7.64,14550033.0
Africa,Algeria,1971,52.88,7.62,14960111.0
Africa,Algeria,1972,53.38,7.59,15377095.0
Africa,Algeria,1973,53.91,7.55,15804428.0
Africa,Algeria,1974,54.52,7.49,16247113.0
Africa,Algeria,1975,55.24,7.42,16709098.0
Africa,Algeria,1976,56.11,7.34,17190236.0
Africa,Algeria,1977,57.13,7.24,17690184.0
Africa,Algeria,1978,58.28,7.14,18212331.0
Africa,Algeria,1979,59.56,7.02,18760761.0
Africa,Algeria,1980,60.92,6.89,19337723.0
Africa,Algeria,1981,62.31,6.74,19943667.0
Africa,Algeria,1982,63.69,6.58,20575701.0
Africa,Algeria,1983,64.97,6.39,21228288.0
Africa,Algeria,1984,66.15,6.19,21893857.0
Africa,Algeria,1985,67.18,5.98,22565908.0
Africa,Algeria,1986,68.04,5.75,23241276.0
Africa,Algeria,1987,68.75,5.51,23917889.0
Africa,Algeria,1988,69.33,5.26,24591493.0
Africa,Algeria,1989,69.81,5.01,25257671.0
Africa,Algeria,1990,70.2,4.76,25912364.0
Africa,Algeria,1991,70.5,4.5,26554277.0
Africa,Algeria,1992,70.9,4.24,27180921.0
Africa,Algeria,1993,71.2,3.97,27785977.0
Africa,Algeria,1994,71.4,3.71,28362015.0
Africa,Algeria,1995,71.6,3.45,28904300.0
Africa,Algeria,1996,72.1,3.21,29411839.0
Africa,Algeria,1997,72.4,2.99,29887717.0
Africa,Algeria,1998,72.6,2.79,30336880.0
Africa,Algeria,1999,73.0,2.63,30766551.0
Africa,Algeria,2000,73.3,2.51,31183658.0
Africa,Algeria,2001,73.5,2.44,31590320.0
Africa,Algeria,2002,73.8,2.41,31990387.0
Africa,Algeria,2003,73.9,2.41,32394886.0
Africa,Algeria,2004,74.4,2.45,32817225.0
Africa,Algeria,2005,74.8,2.51,33267887.0
Africa,Algeria,2006,75.0,2.58,33749328.0
Africa,Algeria,2007,75.3,2.66,34261971.0
Africa,Algeria,2008,75.5,2.73,34811059.0
Africa,Algeria,2009,75.7,2.78,35401790.0
Africa,Algeria,2010,76.0,2.82,36036159.0
Africa,Algeria,2011,76.1,2.83,36717132.0
Africa,Algeria,2012,76.2,2.82,37439427.0
Africa,Algeria,2013,76.3,2.8,38186135.0
Africa,Algeria,2014,76.3,2.76,38934334.0
Africa,Algeria,2015,76.4,2.71,39666519.0
Africa,Angola,1950,30.7,6.93,4354882.0
Africa,Angola,1951,31.05,6.94,4439705.0
Africa,Angola,1952,31.59,6.98,4529381.0
Africa,Angola,1953,32.14,7.02,4621691.0
Africa,Angola,1954,32.69,7.06,4714970.0
Africa,Angola,1955,33.24,7.1,4808114.0
Africa,Angola,1956,33.78,7.14,4900594.0
Africa,Angola,1957,34.33,7.19,4992439.0
Africa,Angola,1958,34.88,7.23,5084166.0
Africa,Angola,1959,35.43,7.28,5176662.0
Africa,Angola,1960,35.98,7.32,5270844.0
Africa,Angola,1961,36.53,7.35,5367287.0
Africa,Angola,1962,37.08,7.39,5465905.0
Africa,Angola,1963,37.63,7.41,5565808.0
Africa,Angola,1964,38.18,7.43,5665701.0
Africa,Angola,1965,38.74,7.43,5765025.0
Africa,Angola,1966,39.28,7.42,5863568.0
Africa,Angola,1967,39.84,7.4,5962831.0
Africa,Angola,1968,40.39,7.38,6066094.0
Africa,Angola,1969,40.95,7.34,6177703.0
Africa,Angola,1970,41.5,7.3,6300969.0
Africa,Angola,1971,42.06,7.26,6437645.0
Africa,Angola,1972,42.62,7.23,6587647.0
Africa,Angola,1973,43.17,7.21,6750215.0
Africa,Angola,1974,43.71,7.19,6923749.0
Africa,Angola,1975,44.22,7.19,7107334.0
Africa,Angola,1976,44.68,7.19,7299508.0
Africa,Angola,1977,45.12,7.19,7501320.0
Africa,Angola,1978,45.5,7.19,7717139.0
Africa,Angola,1979,45.84,7.2,7952882.0
Africa,Angola,1980,46.14,7.2,8211950.0
Africa,Angola,1981,46.42,7.2,8497950.0
Africa,Angola,1982,46.69,7.2,8807511.0
Africa,Angola,1983,46.96,7.21,9128655.0
Africa,Angola,1984,47.23,7.21,9444918.0
Africa,Angola,1985,47.5,7.21,9745209.0
Africa,Angola,1986,47.75,7.21,10023700.0
Africa,Angola,1987,47.99,7.2,10285712.0
Africa,Angola,1988,48.2,7.19,10544904.0
Africa,Angola,1989,48.4,7.18,10820992.0
Africa,Angola,1990,48.6,7.17,11127870.0
Africa,Angola,1991,49.3,7.14,11472173.0
Africa,Angola,1992,49.6,7.12,11848971.0
Africa,Angola,1993,48.4,7.09,12246786.0
Africa,Angola,1994,50.0,7.05,12648483.0
Africa,Angola,1995,50.9,7.02,13042666.0
Africa,Angola,1996,51.3,6.98,13424813.0
Africa,Angola,1997,51.7,6.95,13801868.0
Africa,Angola,1998,51.8,6.91,14187710.0
Africa,Angola,1999,51.8,6.88,14601983.0
Africa,Angola,2000,52.3,6.84,15058638.0
Africa,Angola,2001,52.5,6.81,15562791.0
Africa,Angola,2002,53.3,6.78,16109696.0
Africa,Angola,2003,53.9,6.74,16691395.0
Africa,Angola,2004,54.5,6.7,17295500.0
Africa,Angola,2005,55.2,6.66,17912942.0
Africa,Angola,2006,55.7,6.6,18541467.0
Africa,Angola,2007,56.2,6.52,19183907.0
Africa,Angola,2008,56.7,6.43,19842251.0
Africa,Angola,2009,57.1,6.33,20520103.0
Africa,Angola,2010,57.6,6.22,21219954.0
Africa,Angola,2011,58.1,6.1,21942296.0
Africa,Angola,2012,58.5,5.98,22685632.0
Africa,Angola,2013,58.8,5.86,23448202.0
Africa,Angola,2014,59.2,5.75,24227524.0
Africa,Angola,2015,59.6,5.65,25021974.0
Africa,Benin,1950,33.22,5.75,2255221.0
Africa,Benin,1951,33.53,5.78,2258049.0
Africa,Benin,1952,34.09,5.83,2264378.0
Africa,Benin,1953,34.64,5.88,2274130.0
Africa,Benin,1954,35.19,5.94,2287225.0
Africa,Benin,1955,35.72,5.99,2303585.0
Africa,Benin,1956,36.25,6.05,2323131.0
Africa,Benin,1957,36.77,6.11,2345782.0
Africa,Benin,1958,37.28,6.17,2371461.0
Africa,Benin,1959,37.79,6.23,2400094.0
Africa,Benin,1960,38.29,6.28,2431620.0
Africa,Benin,1961,38.8,6.34,2466002.0
Africa,Benin,1962,39.32,6.39,2503232.0
Africa,Benin,1963,39.85,6.45,2543335.0
Africa,Benin,1964,40.38,6.5,2586362.0
Africa,Benin,1965,40.93,6.54,2632360.0
Africa,Benin,1966,41.5,6.59,2681382.0
Africa,Benin,1967,42.09,6.63,2733450.0
Africa,Benin,1968,42.69,6.67,2788551.0
Africa,Benin,1969,43.31,6.71,2846652.0
Africa,Benin,1970,43.93,6.75,2907769.0
Africa,Benin,1971,44.55,6.79,2971941.0
Africa,Benin,1972,45.16,6.82,3039300.0
Africa,Benin,1973,45.77,6.86,3110074.0
Africa,Benin,1974,46.36,6.9,3184547.0
