ANGELEGT_AM,TATZEIT_ANFANG_DATUM,TATZEIT_ANFANG_STUNDE,TATZEIT_ENDE_DATUM,TATZEIT_ENDE_STUNDE,LOR,SCHADENSHOEHE,VERSUCH,ART_DES_FAHRRADS,DELIKT,ERFASSUNGSGRUND
29.10.2020,01.01.2020,0,01.01.2020,0,01401046,300,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.01.2020,01.01.2020,22,02.01.2020,11,09100408,3676,Nein,diverse Fahrräder,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
04.01.2020,01.01.2020,15,02.01.2020,15,02200211,483,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
06.01.2020,01.01.2020,15,01.01.2020,20,04501147,999,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
03.01.2020,01.01.2020,1,01.01.2020,12,02400623,264,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,01.01.2020,9,02.01.2020,9,03200206,230,Nein,Damenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
02.01.2020,01.01.2020,11,01.01.2020,17,04500939,299,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.01.2020,01.01.2020,19,01.01.2020,20,08100206,1600,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
01.01.2020,01.01.2020,16,01.01.2020,18,03300514,625,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
01.01.2020,01.01.2020,13,01.01.2020,17,03300514,399,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.01.2020,01.01.2020,11,01.01.2020,15,01100309,950,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
13.01.2020,01.01.2020,23,02.01.2020,12,02100104,250,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
15.03.2021,01.01.2020,0,01.01.2020,0,01100416,100,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.06.2021,01.01.2020,0,01.01.2020,0,04501150,50,Nein,Herrenfahrrad,Fahrraddiebstahl,Einfacher Diebstahl von Fahrrädern
02.01.2020,01.01.2020,15,02.01.2020,19,11300721,569,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
11.03.2020,01.01.2020,15,02.01.2020,10,01100311,450,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
08.02.2020,02.01.2020,9,02.01.2020,14,08100311,330,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.01.2021,02.01.2020,12,02.01.2020,12,06400842,2370,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
07.01.2020,02.01.2020,14,02.01.2020,18,02300419,1099,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
03.01.2020,02.01.2020,18,03.01.2020,9,03200205,592,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
03.01.2020,02.01.2020,14,03.01.2020,13,10400940,500,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
13.01.2020,02.01.2020,16,02.01.2020,20,06300527,399,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
05.01.2020,02.01.2020,16,02.01.2020,16,01100311,600,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
04.01.2020,02.01.2020,19,04.01.2020,12,04400726,1900,Nein,Mountainbike,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern
03.01.2020,02.01.2020,18,03.01.2020,8,08100416,648,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.01.2020,02.01.2020,9,02.01.2020,15,07300515,850,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.01.2020,02.01.2020,12,02.01.2020,15,04300416,545,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.01.2020,02.01.2020,10,02.01.2020,18,04300518,1000,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.01.2020,02.01.2020,8,02.01.2020,15,08100314,249,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
03.01.2020,02.01.2020,14,03.01.2020,10,06200421,330,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
03.01.2020,02.01.2020,19,02.01.2020,22,07400720,1200,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
02.01.2020,02.01.2020,5,02.01.2020,14,09301126,5319,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
15.01.2020,02.01.2020,15,03.01.2020,11,09301025,599,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern
